threshold,kept,coverage,error
0.145311,36166,0.989710,0.293618
0.152195,36176,0.989984,0.293731
0.159354,36192,0.990422,0.293932
0.166795,36197,0.990559,0.294002
0.174523,36211,0.990942,0.294082
0.182545,36219,0.991161,0.294183
0.190865,36228,0.991407,0.294330
0.199488,36234,0.991571,0.294337
0.208417,36241,0.991763,0.294308
0.217655,36245,0.991872,0.294385
0.227206,36255,0.992146,0.294387
0.237069,36264,0.992392,0.294369
0.247246,36278,0.992775,0.294476
0.257736,36292,0.993159,0.294473
0.268535,36304,0.993487,0.294651
0.279642,36313,0.993733,0.294660
0.29105,36329,0.994171,0.294806
0.302753,36337,0.994390,0.294823
0.314743,36347,0.994664,0.294852
0.327009,36349,0.994718,0.294836
0.33954,36361,0.995047,0.294821
0.35232,36363,0.995102,0.294805
0.365334,36368,0.995238,0.294847
0.378562,36371,0.995320,0.294850
0.391983,36385,0.995704,0.294929
0.405573,36390,0.995840,0.294916
0.419307,36392,0.995895,0.294900
0.433154,36394,0.995950,0.294911
0.447084,36402,0.996169,0.294874
0.475052,36421,0.996689,0.295132
0.502906,36430,0.996935,0.295196
0.530304,36443,0.997291,0.295338
0.543716,36447,0.997400,0.295388
0.556871,36468,0.997975,0.295711
0.569717,36470,0.998030,0.295723
0.582203,36477,0.998221,0.295775
0.605883,36481,0.998331,0.295798
0.627487,36490,0.998577,0.295807
0.646604,36502,0.998905,0.295847
0.662847,36515,0.999261,0.295878
0.675873,36526,0.999562,0.295954
0.685395,36529,0.999644,0.295929
0.691198,36539,0.999918,0.296012
0.693147,36542,1.000000,0.295988
